tweet_id,favorites,retweets,user_followers,user_favourites,date_time
782305867769217024,17768,6075,7690778,140762,2016-10-01 19:47:08
782021823840026624,0,6805,7690778,140762,2016-10-01 00:58:26
781955203444699136,11834,3663,7690778,140762,2016-09-30 20:33:43
781661882474196992,11120,2953,7690778,140762,2016-09-30 01:08:10
781655249211752448,4266,1222,7690778,140762,2016-09-30 00:41:48
781524693396357120,22094,6038,7690778,140762,2016-09-29 16:03:01
781308096455073793,7584,2771,7690778,140762,2016-09-29 01:42:20
781251288990355457,8981,2287,7690778,140762,2016-09-28 21:56:36
781163403222056960,10400,2980,7690778,140762,2016-09-28 16:07:23
780931614150983680,23051,7996,7690778,140762,2016-09-28 00:46:20
780858289093574656,7666,2179,7690778,140762,2016-09-27 19:54:58
780800785462489090,5853,1414,7690778,140762,2016-09-27 16:06:28
780601303617732608,12867,3630,7690778,140762,2016-09-27 02:53:48
780543529827336192,6714,1885,7690778,140762,2016-09-26 23:04:13
780496263422808064,0,4042,7690778,140762,2016-09-26 19:56:24
780476555013349377,0,126,7690778,140762,2016-09-26 18:38:05
780459368902959104,5623,1164,7690778,140762,2016-09-26 17:29:48
780192070812196864,9263,2433,7690778,140762,2016-09-25 23:47:39
780092040432480260,0,2507,7690778,140762,2016-09-25 17:10:10
780074436359819264,13038,5429,7690778,140762,2016-09-25 16:00:13
779834332596887552,20197,7721,7690778,140762,2016-09-25 00:06:08
779377524342161408,9380,3388,7690778,140762,2016-09-23 17:50:56
779124354206535695,0,20039,7690778,140762,2016-09-23 01:04:56
779123168116150273,12554,3965,7690778,140762,2016-09-23 01:00:13
779056095788752897,15737,4922,7690778,140762,2016-09-22 20:33:42
778990705243029504,21294,7902,7690778,140762,2016-09-22 16:13:51
778774459159379968,0,10857,7690778,140762,2016-09-22 01:54:34
778764940568104960,912,399,7690778,140762,2016-09-22 01:16:45
778748913645780993,7336,1446,7690778,140762,2016-09-22 00:13:04
778650543019483137,6134,1624,7690779,140762,2016-09-21 17:42:10
778624900596654080,4941,1097,7690779,140762,2016-09-21 16:00:17
778408200802557953,14529,4729,7690779,140762,2016-09-21 01:39:11
778396591732486144,0,13316,7690779,140762,2016-09-21 00:53:04
778383385161035776,6215,1204,7690779,140762,2016-09-21 00:00:35
778286810187399168,11054,3591,7690779,140762,2016-09-20 17:36:50
778039087836069888,9007,2864,7690779,140762,2016-09-20 01:12:28
778027034220126208,6967,1761,7690779,140762,2016-09-20 00:24:34
777953400541634568,0,3831,7690779,140762,2016-09-19 19:31:59
777885040357281792,6762,1784,7690779,140762,2016-09-19 15:00:20
777684233540206592,11933,3204,7690779,140762,2016-09-19 01:42:24
777641927919427584,0,4622,7690779,140762,2016-09-18 22:54:18
777621514455814149,9321,2707,7690779,140762,2016-09-18 21:33:11
777189768882946048,15229,4703,7690779,140762,2016-09-17 16:57:35
776819012571455488,0,14943,7690779,140762,2016-09-16 16:24:19
776813020089548800,5181,1318,7690779,140762,2016-09-16 16:00:31
776477788987613185,9397,3035,7690779,140762,2016-09-15 17:48:25
776249906839351296,0,9927,7690779,140762,2016-09-15 02:42:54
776218204058357768,31902,17347,7690779,140762,2016-09-15 00:36:55
776201521193218049,10197,2736,7690779,140762,2016-09-14 23:30:38
776113305656188928,12476,4726,7690779,140762,2016-09-14 17:40:06
776088319444877312,1942,165,7690779,140762,2016-09-14 16:00:49
775898661951791106,0,17838,7690779,140762,2016-09-14 03:27:11
775842724423557120,12444,2903,7690779,140762,2016-09-13 23:44:54
775733305207554048,14708,4349,7690779,140762,2016-09-13 16:30:07
775729183532220416,13727,4965,7690780,140762,2016-09-13 16:13:44
775364825476165632,7883,3226,7690780,140762,2016-09-12 16:05:54
775350846108426240,10781,4234,7690780,140762,2016-09-12 15:10:21
775085132600442880,16509,5131,7690780,140762,2016-09-11 21:34:30
774757898236878852,9076,1921,7690780,140762,2016-09-10 23:54:11
774639387460112384,7130,1875,7690780,140762,2016-09-10 16:03:16
774314403806253056,23112,6046,7690781,140762,2016-09-09 18:31:54
773985732834758656,11388,4205,7690781,140762,2016-09-08 20:45:53
773922284943896577,6787,1874,7690781,140762,2016-09-08 16:33:46
773704687002451968,7003,1763,7690781,140762,2016-09-08 02:09:06
773670353721753600,5640,1404,7690781,140762,2016-09-07 23:52:41
773547596996571136,23447,6684,7690781,140762,2016-09-07 15:44:53
773336787167145985,0,5523,7690781,140762,2016-09-07 01:47:12
773308824254029826,24673,8099,7690781,140762,2016-09-06 23:56:05
773247561583001600,9989,3487,7690781,140762,2016-09-06 19:52:39
773191612633579521,10589,4449,7690781,140762,2016-09-06 16:10:20
772877495989305348,9103,4198,7690782,140762,2016-09-05 19:22:09
772826264096874500,8477,2527,7690782,140762,2016-09-05 15:58:34
772615324260794368,0,3657,7690782,140762,2016-09-05 02:00:22
772581559778025472,6866,1830,7690782,140762,2016-09-04 23:46:12
772193107915964416,6380,1498,7690782,140762,2016-09-03 22:02:38
772152991789019136,4003,1212,7690780,140762,2016-09-03 19:23:13
772117678702071809,3982,796,7690780,140762,2016-09-03 17:02:54
772114945936949249,2879,511,7690780,140762,2016-09-03 16:52:02
772102971039580160,4245,1005,7690780,140762,2016-09-03 16:04:27
771908950375665664,6969,2049,7690780,140762,2016-09-03 03:13:29
771770456517009408,12720,3678,7690780,140762,2016-09-02 18:03:10
771500966810099713,8776,2843,7690780,140762,2016-09-02 00:12:18
771380798096281600,11151,5523,7690780,140762,2016-09-01 16:14:48
771171053431250945,0,8189,7690780,140762,2016-09-01 02:21:21
771136648247640064,9722,3179,7690780,140762,2016-09-01 00:04:38
771102124360998913,6613,1556,7690780,140762,2016-08-31 21:47:27
771014301343748096,7278,1797,7690780,140762,2016-08-31 15:58:28
771004394259247104,0,237,7690780,140762,2016-08-31 15:19:06
770787852854652928,5242,1320,7690780,140762,2016-08-31 00:58:39
770772759874076672,5498,1529,7690780,140762,2016-08-30 23:58:40
770655142660169732,7759,1884,7690780,140762,2016-08-30 16:11:18
770414278348247044,6665,2234,7690780,140762,2016-08-30 00:14:12
770293558247038976,6612,1608,7690780,140762,2016-08-29 16:14:30
770093767776997377,0,3286,7690779,140762,2016-08-29 03:00:36
770069151037685760,8042,2490,7690779,140762,2016-08-29 01:22:47
769940425801170949,33312,10448,7690779,140762,2016-08-28 16:51:16
769695466921623552,6763,1791,7690779,140762,2016-08-28 00:37:54
769335591808995329,0,8319,7690779,140762,2016-08-27 00:47:53
769212283578875904,5710,1852,7690779,140762,2016-08-26 16:37:54
768970937022709760,15262,7080,7690779,140762,2016-08-26 00:38:52
768909767477751808,0,2914,7690779,140762,2016-08-25 20:35:48
768855141948723200,4443,961,7690779,140762,2016-08-25 16:58:45
768609597686943744,4354,1310,7690779,140762,2016-08-25 00:43:02
768596291618299904,5310,1380,7690779,140762,2016-08-24 23:50:10
